arxiv_id,title,authors,categories,published,updated,url,pdf_url,doi,journal_ref,abstract,collected_at
2609.11918v1,General Quantification of Covariate and Concept Shifts,Hongbo Chen; Li Charlie Xia,cs.LG; cs.AI; stat.ML,2026-09-10T17:57:52+00:00,2026-09-10T17:57:52+00:00,http://arxiv.org/abs/2609.11918v1,https://arxiv.org/pdf/2609.11918v1,,,"Generalization under distribution shift remains a core challenge in modern machine learning, yet existing learning bound theory is limited to narrow, idealized settings and is non-estimable from samples. In this paper, we bridge the gap between theory and practical applications. We first show that existing definition of concept shift breaks when the source and target supports mismatch. Leveraging entropic optimal transport, we propose a key notion: $γ^{*}\!$-concept shifts, and derive a general error bound unifying covariate and $γ^{*}\!$-concept shifts, which applies to broad loss functions, label spaces, and stochastic labeling. We further develop estimators for these shifts with concentration guarantees, and the DataShifts algorithm, which can quantify distribution shifts and estimate the error bound in most applications - a rigorous and general tool for analyzing learning error under distribution shift.",2026-09-11T03:32:33.486157+00:00
2609.11917v1,Data Scarcity and Model Sparsity: Mixtures-of-Experts Overfit More to Repeated Data,Atindra Jha; Margaret Li; Jure Leskovec; Percy Liang; Luke Zettlemoyer,cs.LG; cs.CL,2026-09-10T17:57:33+00:00,2026-09-10T17:57:33+00:00,http://arxiv.org/abs/2609.11917v1,https://arxiv.org/pdf/2609.11917v1,,,"As the supply of human-written text is exhausted, it has become standard practice to repeat language model training data. Prior work has studied data repetition for densely activated Transformers, but the effects of data repetition remains largely unexplored for recently dominant sparse architectures such as Mixture-of-Experts (MoE), despite their increased compute efficiency. We vary data repetition rates across single- and multi-domain data mixes, and across MoE settings, including expert count and granularity. We consistently find, for models ranging from 80M to 1B active (8.5B total) parameters, that MoEs degrade more rapidly under data repetition. This effect increases with sparsity, dictated by total rather than active parameters. While 80M dense models can repeat data over 8x with minimal degradation, MoEs instead begin to suffer at 4x, and deteriorate rapidly, ceding their performance benefits in all-unique data settings to underperform dense models after 32x. We experiment with existing regularization methods as a potential remedy. We find that some methods, such as dropout, can mitigate overfitting. In particular, with strong masking-based regularization, MoEs are able to outperform dense models even when data is repeated more than 64 times. However, no method fully matches the performance of all-unique training data. Finally, we analyze internal mechanisms correlated with MoE overfitting in high repetition regimes, and find that MoE routing universally stabilizes early in training, and that expert specialization correlates with overfitting to repeated data. In sum, our work addresses the adverse interactions between sparsity and data repetition: we present evidence for the core mechanisms of overfitting and its potential remediation, and suggest promising avenues for future methods to reduce over-specialization in model parameters by disrupting memorization patterns.",2026-09-11T03:32:33.486167+00:00
2609.11915v1,Generative Marketing Mix Modeling: A Causal Inference Framework Linking GEO and GEM to Business Impact,Masahiro Kato; Daiki Honma; Taka Kato,stat.ML; cs.AI; cs.LG; econ.EM; stat.ME,2026-09-10T17:57:28+00:00,2026-09-10T17:57:28+00:00,http://arxiv.org/abs/2609.11915v1,https://arxiv.org/pdf/2609.11915v1,,,"Generative artificial intelligence changes how firms reach customers, but standard marketing data do not record how often users see and notice a firm's name in generated answers. We develop Generative Marketing Mix Modeling (GMMM) to estimate the causal effects of Generative Engine Optimization (GEO) and Generative Engine Marketing (GEM). For GEO, GMMM combines repeated generated answers with question counts, shares of use across generative systems, and notice probabilities. For GEM, it combines records of sponsored placements with notice probabilities. GMMM compares expected business responses under alternative treatment sequences and establishes sufficient conditions for identifying the resulting effects. We investigate the empirical performance of the proposed method using simulated answers to product recommendation in English and Japanese.",2026-09-11T03:32:33.486173+00:00
2609.11913v1,Distance generalization in transformers: why bother with positional encoding?,Daniel Henrik Nevermann; Claudius Gros,cs.CL,2026-09-10T17:57:19+00:00,2026-09-10T17:57:19+00:00,http://arxiv.org/abs/2609.11913v1,https://arxiv.org/pdf/2609.11913v1,,,"Out-of-distribution length generalization, namely to extrapolate a task from short to longer context, has been studied intensively for transformers. Here we focus on distance generalization, which probes performance when inter-token distances are changed between training and inference, while keeping a fixed context length. We construct two synthetic delay copy tasks, both involving finite distances between source and recall, where tokens are copied either fully or selectively, and test models on delays unseen during training. We address three questions: (A) Do positional encoding schemes such as RoPE and ALiBi improve distance resolution relative to no positional encoding (NoPE)? (B) How does data diversity, the number of inter-token distances seen in training, affect performance? (C) When is distance transfer learning positive or negative? We present a thorough investigation, finding that it is paramount to improve our understanding of the underlying mechanisms.",2026-09-11T03:32:33.486188+00:00
2609.11910v1,From Protocols to Evidence: Bounded Claims for AI in Service of the Common Good,Nitesh V. Chawla; Paulo Benanti,cs.LG,2026-09-10T17:56:36+00:00,2026-09-10T17:56:36+00:00,http://arxiv.org/abs/2609.11910v1,https://arxiv.org/pdf/2609.11910v1,0.1145/3806096.3844885,ACM AI Summit 2026,"Artificial Intelligence does more than create a governance problem. It can also reveal where institutions have already failed to provide responsiveness, belonging, care, and accountability. Once deployed, AI becomes an intervention in those conditions. It can repair, compound, substitute for, or conceal the failures it encounters. Responsible AI must therefore evaluate both the system and the institutional rupture into which it is introduced. The move from principles to protocols is already underway. The EU AI Act, NIST AI RMF, ISO/IEC 42001, and assurance practices translate commitments into roles, requirements, records, oversight, and assessment. The harder questions are what these protocols actually establish, whose power they leave untouched, and where measurement must stop. Pope Leo XIV's Magnifica Humanitas provides a broader moral frame centered on dignity, technological power, and the common good. Drawing on that frame, we develop a rupture test that links institutional baselines to system evaluation. We distinguish evidence-bounded deployment, which limits claims to what has actually been evaluated, from measurement-bounded governance, which records constraints that favorable evidence cannot override. Within those limits, RISE AI provides an architecture for making bounded, evidence-based claims about Responsibility, Inclusivity, Safety, and Empowerment. Responsible AI requires better engineering, institutional repair, and continued moral and political judgment.",2026-09-11T03:32:33.486199+00:00
2609.11904v1,TART: A Modular Tool for Technique-Aware Audio-to-Tablature Guitar Transcription,Akshaj Gupta; Hwi Joo Park; Andrea Guzman; Shamak Gowda; Samhita Konduri; Jiachen Lian; Robin Netzorg; Gopala Anumanchipalli,cs.LG,2026-09-10T17:55:12+00:00,2026-09-10T17:55:12+00:00,http://arxiv.org/abs/2609.11904v1,https://arxiv.org/pdf/2609.11904v1,,,"Automatic Music Transcription (AMT) for guitar remains limited by three challenges: existing systems often fail to capture expressive techniques such as slides, bends, and percussive hits; they often assign notes to incorrect string-fret combinations; and they are typically trained on clean recordings, limiting their generalization to noisy real-world audio. To address these challenges, we propose TART, a modular four-stage audio-to-tablature pipeline consisting of (1) an audio-to-MIDI transcription model, (2) an expressive technique classifier, (3) an audio-conditioned T5 encoder-decoder for string-fret assignment, and (4) an automated tablature generator. We evaluate TART in a zero-shot setting on GuitarSet, EGDB, and two augmented benchmarks, Noisy GuitarSet and Noisy EGDB. Averaged across these four benchmarks, TART achieves 81.35% audio-to-MIDI F50 (+6.67 points over the best prior baseline), 71.8% string-fret Tab F1 (+8.5 points over the best prior baseline), and 54.08% end-to-end Tab F1. To our knowledge, TART is the first framework to generate guitar tablature with both fingering and expressive technique annotations directly from guitar audio.",2026-09-11T03:32:33.486210+00:00
2609.11897v1,CausalArena: Benchmarking Causal Discovery in the Foundation Model Era,Zi-Rong Li; Si-Yang Liu; Tian-Zuo Wang; Han-Jia Ye,cs.LG,2026-09-10T17:53:15+00:00,2026-09-10T17:53:15+00:00,http://arxiv.org/abs/2609.11897v1,https://arxiv.org/pdf/2609.11897v1,,,"Causal discovery aims to uncover causal structures from data and is fundamental to scientific reasoning and intervention-based decision making. Its evaluation relies heavily on structural causal models (SCMs), which specify a causal graph together with the mechanisms that generate data, yet existing studies differ substantially in graph families, mechanisms, and evaluation protocols. The emergence of causal discovery foundation models (CDFMs) further complicates evaluation: performance may reflect not only causal discovery ability, but also overlap between pretraining environments and test SCMs, making results on fixed synthetic benchmarks difficult to interpret. We introduce CausalArena, a unified and evolvable benchmark for causal discovery under a common protocol. Synthetic SCMs supply controlled breadth over structures and mechanisms; semantic operational SCMs provide human-auditable, semantically grounded environments beyond standard synthetic generators; and formula-grounded SCMs test discovery under explicit scientific mechanisms. Public real-world datasets provide an additional external-validity check. Experiments across classical, neural, and pretrained methods reveal substantial ranking shifts across SCM families and protocols, showing that strong performance in one benchmark regime does not reliably transfer to others. These results highlight benchmark diversity and pretraining--evaluation overlap as central challenges for evaluating causal discovery in the foundation model era.",2026-09-11T03:32:33.486220+00:00
2609.11894v1,3D Point Splatting for mmWave Radar Novel View Synthesis,Adnan Armouti; Yixuan Gao; Rajalakshmi Nandakumar,cs.CV; cs.GR; cs.LG; eess.SP,2026-09-10T17:52:17+00:00,2026-09-10T17:52:17+00:00,http://arxiv.org/abs/2609.11894v1,https://arxiv.org/pdf/2609.11894v1,,,"Solving novel view synthesis (NVS) for millimeter-wave (mmWave) radar requires a renderer that is physically faithful, complex-valued, and multi-viewpoint-tractable. No prior method achieves these three properties simultaneously. Differentiable Monte Carlo (MC) ray tracers implement the radar forward model directly with explicit material modeling and complex outputs, but do not scale to the multi-view optimization NVS demands. Optical-NVS ports of NeRF, hash grids, and 3D Gaussians train fast but discard phase and replace explicit material modeling with opaque learned features, restricting them to power-only range-azimuth (RA) magnitudes. We propose 3D Point Splatting (3DPS), the first differentiable point renderer for radar, derived directly from the standard solid-angle form of the radar equation. Each oriented 3D point carries an ITU-R P.2040 material model, evaluated in closed form, with the resulting complex phasor splatted into range bins through a precomputed point spread function (PSF). The complex-valued output makes the renderer product-agnostic. The same optimized scene yields analog-to-digital converter (ADC), complex range profile (CRP), and RA outputs through standard fast Fourier transform (FFT) pipelines without retraining for each format. On six outdoor ColoRadar scenes, 3DPS reaches 0.587 mean Pearson correlation on held-out RA images. This is between 1.7x and 5.2x the three optical-NVS baselines (RadarSplat, Radar Fields, DART). Training takes approximately 3 minutes per scene on a single RTX 4090.",2026-09-11T03:32:33.486241+00:00
2609.11892v1,Nuha-Speech: Building General-Purpose Arabic Speech-LLMs,Yingzhi Wang; Reem Alhazzani; Muhammad Alqurishi,cs.CL,2026-09-10T17:50:35+00:00,2026-09-10T17:50:35+00:00,http://arxiv.org/abs/2609.11892v1,https://arxiv.org/pdf/2609.11892v1,,,"As Speech Large Language Models (speech-LLMs) become increasingly multilingual, Arabic remains significantly underrepresented, highlighting the need for dedicated infrastructure to train and evaluate Arabic speech-LLMs.   To address this gap, we introduce Nuha-Speech, a comprehensive initiative to develop general-purpose Arabic speech-LLMs spanning dataset construction, model training, and systematic evaluation. Specifically, we constructed a large-scale Arabic Speech Question-Answering (SQA) corpus comprising over 1.5 million training samples to allow instruction tuning over a broad range of core speech tasks. Then, the corpus was used for supervised fine-tuning based on Qwen-Omni model variants at different scales. Finally, we designed an evaluation framework featuring diverse tasks and tailored metrics. Through this work, we aim to establish foundational infrastructures for Arabic Speech-LLMs under constraints imposed by limited Arabic speech resources.",2026-09-11T03:32:33.486254+00:00
2609.11884v1,CoRA-NAS: Coarse Ranking and Anchor-Residual Refinement for Neural Architecture Search,Yifan Yang; Zhaoyan Wang; Zheng Gao; Xiaoyu Li; Jiaojiao Jiang,cs.LG; cs.CV,2026-09-10T17:49:19+00:00,2026-09-10T17:49:19+00:00,http://arxiv.org/abs/2609.11884v1,https://arxiv.org/pdf/2609.11884v1,,,"Zero-cost proxies rank architectures cheaply, but their reliability varies across search spaces. We introduce CoRA-NAS (COarse Ranking + Anchor-residual), a two-stage framework combining a static ranking prior with low-cost learning-curve refinement. CoRA-Rank aggregates capacity and structure-at-initialization proxies through an equal-weight log-rank consensus and a target-free consensus gate. CoRA-Refine samples anchors across this prior, extrapolates their early validation curves, and propagates a learned residual correction with an ExtraTrees model. The refinement uses approximately 1% of the cost of fully training the candidate set. Fully trained architecture-accuracy labels are not used to fit the ranker. One configuration is used across spaces, with space-specific architecture encodings. Across NAS-Bench-201, NAS-Bench-101, TransNAS-Bench-101, and NATS-SSS, CoRA-Refine achieves mean Spearman correlations of 0.946, 0.715, 0.786, and 0.894, respectively. Its worst-space correlation of 0.715 is the highest among the compared methods. On NAS-Bench-201/CIFAR-100, its selected architecture reaches 73.32% accuracy, near the reported ground-truth best of 73.37%. On the pure size space, refinement recovers the static prior's shortfall relative to parameter count, while remaining tied with the strongest capacity proxies within noise. The resulting framework combines cross-space ranking robustness with low-cost architecture selection.",2026-09-11T03:32:33.486262+00:00
